b_bookkey,b_authorkey,b_genre,title
366,366,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Classics']",His Dark Materials (His Dark Materials #1-3)
367,367,"['Nonfiction', 'Science', 'Environment', 'Nature', 'Classics', 'Ecology', 'History']",Silent Spring
368,368,"['Fiction', 'Science Fiction', 'Fantasy', 'Historical Fiction', 'Dystopia', 'Contemporary', 'Literary Fiction']",Cloud Atlas
369,369,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Medical']",The Immortal Life of Henrietta Lacks
370,370,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'History', 'Space', 'Philosophy']",Cosmos
371,371,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Drama', 'Suspense', 'Novels']",The Zombie Room
372,372,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Race', 'Literature', 'Novels']",Native Son
373,373,"['Plays', 'Classics', 'Drama', 'Fiction', 'School', 'Theatre', 'Literature']",The Glass Menagerie
374,374,"['Plays', 'Classics', 'Fiction', 'Drama', 'Theatre', 'Literature', 'Philosophy']",Waiting for Godot
375,375,"['Historical Fiction', 'Fiction', 'Historical', 'Classics', 'Art', 'Romance', 'Adult']",Girl with a Pearl Earring
376,376,"['Fantasy', 'Classics', 'Fiction', 'Historical Fiction', 'Arthurian', 'Mythology', 'Young Adult']",The Once and Future King
377,377,"['Self Help', 'Nonfiction', 'Spirituality', 'Philosophy', 'Personal Development', 'Psychology', 'Inspirational']",The Four Agreements
378,378,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Historical Fiction', 'Dogs']",Old Yeller
379,379,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']",Heidi
380,380,"['Africa', 'Travel', 'Nonfiction', 'History', 'Adventure', 'Liberia', 'Sierra Leone']",Chasing the Devil: The Search for Africa's Fighting Spirit
381,381,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', 'Novels', 'Philosophy']",The Idiot
382,382,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']","Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)"
383,383,"['Fiction', 'Horror', 'Classics', 'Thriller', 'Crime', 'Contemporary', 'Novels']",American Psycho
384,384,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Young Adult', 'Horses', 'Historical Fiction']",Black Beauty
385,385,"['Nonfiction', 'History', 'Classics', 'Biography', 'Memoir', 'School', 'Autobiography']",Narrative of the Life of Frederick Douglass
386,386,"['Nonfiction', 'Economics', 'Business', 'Science', 'Psychology', 'Sociology', 'Finance']",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
387,387,"['Christian', 'Religion', 'Nonfiction', 'Christianity', 'Reference', 'Spirituality', 'Faith']",Life Application Study Bible: NIV
388,388,"['Fantasy', 'Fiction', 'Romance', 'Historical Fiction', 'Magical Realism', 'Magic', 'Young Adult']",The Night Circus
389,389,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Classic Literature']",The Complete Poems of Emily Dickinson
390,390,"['Classics', 'Fiction', 'Literature', 'Novels', 'Feminism', 'British Literature', '20th Century']",Mrs. Dalloway
391,391,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Adventure', 'Short Stories', 'Literature']",The Jungle Books
392,392,"['Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Mystery', 'Classics', 'Realistic Fiction']",From the Mixed-Up Files of Mrs. Basil E. Frankweiler
393,393,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Science Fiction Fantasy', 'Literature']",The War of the Worlds
394,394,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']","Little House on the Prairie (Little House, #3)"
395,395,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure', 'Magic']","Inkheart (Inkworld, #1)"
396,396,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', '20th Century', 'Southern Gothic']",The Sound and the Fury
397,397,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', '19th Century', 'Historical']",Mansfield Park
398,398,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'School', 'American', 'Historical']","My Ãntonia (Great Plains Trilogy, #3)"
399,399,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Audiobook', 'Adult']",All the Light We Cannot See
400,400,"['Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Humor']","Pippi Longstocking (Pippi LÃ¥ngstrump, #1)"
401,401,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Romance', 'Middle Grade', 'Childrens']","Stargirl (Stargirl, #1)"
402,402,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'School']",The Epic of Gilgamesh
403,403,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'France', 'Medicine']",The Diving Bell and the Butterfly
404,404,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Race', 'Literature', 'Novels']",The Bluest Eye
405,405,"['Classics', 'Fiction', 'Short Stories', 'Romance', 'American', 'Literature', 'Audiobook']",Breakfast at Tiffany's and Three Stories
406,406,"['Fiction', 'Classics', 'Dystopia', 'Philosophy', 'Science Fiction', 'School', 'Literature']",Anthem
407,407,"['Fiction', 'Classics', 'Literature', 'Novels', 'American', 'Historical Fiction', 'Southern']",The Heart Is a Lonely Hunter
408,408,"['Nonfiction', 'Philosophy', 'Spirituality', 'Self Help', 'Buddhism', 'Psychology', 'Religion']",The Art of Happiness
409,409,"['Fiction', 'Historical Fiction', 'Classics', 'Literary Fiction', 'Historical', 'Literature', 'Novels']",The Remains of the Day
410,410,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Middle Grade', 'Magic', 'Childrens']","Howlâ€™s Moving Castle (Howlâ€™s Moving Castle, #1)"
411,411,"['Fiction', 'Mystery', 'Historical Fiction', 'Gothic', 'Books About Books', 'Fantasy', 'Adult']",The Thirteenth Tale
412,412,"['Classics', 'Fiction', 'Adventure', 'Animals', 'Young Adult', 'Historical Fiction', 'Literature']",White Fang
413,413,"['Nonfiction', 'Memoir', 'Animals', 'Biography', 'Dogs', 'Humor', 'Biography Memoir']",Marley and Me: Life and Love With the World's Worst Dog
414,414,"['Historical Fiction', 'Fiction', 'Romance', 'New Adult', 'Historical', 'Adult', 'Young Adult']",Mistress Suffragette
415,415,"['Fiction', 'Contemporary', 'Psychology', 'Book Club', 'Adult Fiction', 'Adult', 'Audiobook']",Still Alice
416,416,"['Fiction', 'Contemporary', 'Chick Lit', 'Adult Fiction', 'Coming Of Age', 'Novels', 'Adult']",She's Come Undone
417,417,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Suspense', 'Legal Thriller', 'Mystery Thriller']","A Time to Kill (Jake Brigance, #1)"
418,418,"['Horror', 'Fantasy', 'Fiction', 'Mystery', 'Magical Realism', 'Gothic', 'Literature']",Houdini Heart
419,419,"['Classics', 'Fiction', 'Adventure', 'Science Fiction', 'France', 'Travel', 'Fantasy']",Around the World in Eighty Days
420,420,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Adventure', 'Christian']","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
421,421,"['Classics', 'Plays', 'Drama', 'Fiction', 'School', 'Theatre', 'Literature']",King Lear
422,422,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Victorian', 'Novels']",Middlemarch
423,423,"['Fiction', 'Magical Realism', 'Japan', 'Japanese Literature', 'Fantasy', 'Contemporary', 'Novels']",The Wind-Up Bird Chronicle
424,424,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century']",Northanger Abbey
425,425,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment']",The Omnivore's Dilemma: A Natural History of Four Meals
426,426,"['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Mystery', 'Fantasy', 'Drama']",Different Seasons
427,427,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'World War II', 'France', 'War']",Sarah's Key
428,428,"['Classics', 'Fiction', 'Historical Fiction', 'France', 'Literature', 'French Literature', 'Gothic']",The Hunchback of Notre-Dame
429,429,"['Classics', 'Fiction', 'Russia', 'Philosophy', 'Russian Literature', 'Literature', 'Novels']","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead"
430,430,"['Nonfiction', 'Food', 'Health', 'Sociology', 'Politics', 'History', 'Science']",Fast Food Nation: The Dark Side of the All-American Meal
431,431,"['Fiction', 'Contemporary', 'Philosophy', 'Novels', 'Psychology', 'Romance', 'Mental Health']",Veronika Decides to Die
432,432,"['Fiction', 'Classics', 'Science Fiction', 'Humor', 'Literature', 'Novels', 'American']",Breakfast of Champions
433,433,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Adult Fiction', 'Mental Illness', 'Adult']",I Know This Much Is True
434,434,"['Science Fiction', 'Fiction', 'Classics', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Robots']","I, Robot (Robot, #0.1)"
435,435,"['Classics', 'Fiction', 'Literature', 'Irish Literature', 'Ireland', 'Novels', '20th Century']",A Portrait of the Artist as a Young Man
436,436,"['Nonfiction', 'Mythology', 'Philosophy', 'History', 'Religion', 'Psychology', 'Spirituality']",The Power of Myth
437,437,"['Fantasy', 'Fiction', 'Young Adult', 'Classics', 'Science Fiction Fantasy', 'Magic', 'High Fantasy']","A Wizard of Earthsea (Earthsea Cycle, #1)"
438,438,"['Fiction', 'Mystery', 'Classics', 'Contemporary', 'Thriller', 'Literary Fiction', 'Mystery Thriller']",The Secret History
439,439,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'High School', 'School', 'Literary Criticism']",Harper Lee's To Kill a Mockingbird
440,440,"['Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary', 'Comedy', 'Adult']","Bridget Jones's Diary (Bridget Jones, #1)"
441,441,"['Horror', 'Fiction', 'Zombies', 'Science Fiction', 'Fantasy', 'Post Apocalyptic', 'Dystopia']",World War Z: An Oral History of the Zombie War
442,442,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Adventure']","The Magician's Nephew (Chronicles of Narnia, #6)"
443,443,"['Fiction', 'Philosophy', 'Spirituality', 'Classics', 'Fantasy', 'Environment', 'Novels']","Ishmael (Ishmael, #1)"
444,444,"['Fiction', 'Contemporary', 'Classics', 'Scotland', 'Novels', 'Literature', 'Crime']","Trainspotting (Mark Renton, #2)"
445,445,"['Fiction', 'Contemporary', 'Coming Of Age', 'Drama', 'Adult Fiction', 'Chick Lit', 'Literary Fiction']",White Oleander
446,446,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Time Travel', 'Fantasy', 'Horror', 'Thriller']",11/22/1963
447,447,"['Historical Fiction', 'Fiction', 'China', 'Historical', 'Asia', 'Book Club', 'Adult']",Snow Flower and the Secret Fan
448,448,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Science Fiction', 'Audiobook']","The Amber Spyglass (His Dark Materials, #3)"
449,449,"['Christian', 'Nonfiction', 'Religion', 'Self Help', 'Spirituality', 'Christianity', 'Faith']",The Purpose Driven Life: What on Earth Am I Here for?
450,450,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Childrens', 'Adventure', 'Young Adult']",The Prince and the Pauper
451,451,"['Nonfiction', 'Self Help', 'Relationships', 'Psychology', 'Marriage', 'Christian', 'Personal Development']",The 5 Love Languages: The Secret to Love that Lasts
452,452,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Thriller']",The Martian
453,453,"['Biography', 'History', 'Nonfiction', 'Classics', 'Autobiography', 'Memoir', 'American History']",The Autobiography of Benjamin Franklin
454,454,"['Classics', 'Plays', 'Fiction', 'Drama', 'School', 'Literature', 'Theatre']",The Merchant of Venice
455,455,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Philosophy', 'Psychology', 'Popular Science']",The Selfish Gene
456,456,"['Fiction', 'Historical Fiction', 'Novels', 'Literature', 'Historical', 'Literary Fiction', 'Contemporary']",The Amazing Adventures of Kavalier & Clay
457,457,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Young Adult Fantasy']",The Chain Between Worlds (The Lost Artefacts #1)
458,458,"['Classics', 'Short Stories', 'Fiction', 'Feminism', 'Horror', 'Literature', 'School']",The Yellow Wallpaper and Other Stories
459,459,"['History', 'Nonfiction', 'World War II', 'War', 'Politics', 'Germany', 'Historical']",The Rise and Fall of the Third Reich: A History of Nazi Germany
460,460,"['Fiction', 'Classics', 'Romance', 'Southern', 'Contemporary', 'Literary Fiction', 'Drama']",The Prince of Tides
461,461,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']","A Clash of Kings  (A Song of Ice and Fire, #2)"
462,462,"['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure']","The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)"
463,463,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Civil War', 'War', 'Classics']",Cold Mountain
464,464,"['Classics', 'Nonfiction', 'Feminism', 'Essays', 'Philosophy', 'Writing', 'Literature']",A Room of One's Own
465,465,"['Fiction', 'Contemporary', 'Historical Fiction', 'Adult Fiction', 'Adult', 'Book Club', 'Drama']",The Memory Keeper's Daughter
466,466,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook']",Outliers: The Story of Success
467,467,"['Classics', 'Fiction', 'Romance', 'Literature', 'Banned Books', 'Novels', 'Erotica']",Lady Chatterley's Lover
468,468,"['Self Help', 'Nonfiction', 'Spirituality', 'Philosophy', 'Psychology', 'Personal Development', 'Audiobook']",The Power of Now: A Guide to Spiritual Enlightenment
469,469,"['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Young Adult', 'Witches']",The Witches
470,470,"['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', '20th Century', 'Feminism']",To the Lighthouse
471,471,"['Nonfiction', 'Memoir', 'Biography', 'Religion', 'Africa', 'Politics', 'Islam']",Infidel
472,472,"['Fiction', 'Novels', 'Politics', 'Drama', 'Egypt', 'Egyptian Literature']",ØµØ§Ù„Ø© Ø£ÙˆØ±ÙØ§Ù†ÙŠÙ„Ù„ÙŠ
473,473,"['Childrens', 'Picture Books', 'Fiction', 'Humor', 'Classics', 'Kids', 'Juvenile']","Amelia Bedelia  (Amelia Bedelia, #1)"
474,474,"['Fiction', 'Fantasy', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure']","The Eye of the World (The Wheel of Time, #1)"
475,475,"['Post Apocalyptic', 'Fantasy']","Wisdom Revolution (The Machinist, The Monk, And The Mesmerizer Chronicles, #1)"
476,476,"['Fiction', 'Science Fiction', 'Post Apocalyptic', 'Classics', 'Dystopia', 'Apocalyptic', 'Australia']",On the Beach
477,477,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Historical', 'Literature', 'Romance']",Ivanhoe
478,478,['Dystopia'],"Dome: Rebellion (Dome, #1)"
479,479,"['Fiction', 'Magical Realism', 'Romance', 'Historical Fiction', 'Classics', 'Fantasy', 'Food']",Like Water for Chocolate
480,480,"['Picture Books', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Fairy Tales', 'Short Stories']",The Stinky Cheese Man and Other Fairly Stupid Tales
481,481,"['Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Historical', 'Childrens', 'Middle Grade']",The Witch of Blackbird Pond
482,482,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Historical', 'Mystery', 'Audiobook']","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
483,483,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Science Fiction', 'Adventure']","Artemis Fowl (Artemis Fowl, #1)"
484,484,"['Nonfiction', 'Religion', 'Philosophy', 'Atheism', 'Science', 'History', 'Politics']",God Is Not Great: How Religion Poisons Everything
485,485,"['Memoir', 'Coming Of Age', 'Own', 'Classics', 'Short Stories', 'Nonfiction']",To Live and Drink in L.A.
486,486,"['Fantasy', 'Childrens', 'Fiction', 'Classics', 'Middle Grade', 'Young Adult', 'Humor']",The BFG
487,487,"['Nonfiction', 'Psychology', 'Biography', 'Mental Health', 'Mental Illness', 'Memoir', 'Classics']",Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities
488,488,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Classics', 'Mystery Thriller']","The Silence of the Lambs  (Hannibal Lecter, #2)"
489,489,"['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Self Help', 'Science', 'Economics']",The Tipping Point: How Little Things Can Make a Big Difference
490,490,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Feminism', 'Speculative Fiction']",The Left Hand of Darkness
491,491,"['Fantasy', 'Post Apocalyptic', 'Science Fiction Fantasy', 'Science Fiction', 'Adult']","The Cheat Code (Wisdom Revolution, #3)"
492,492,"['Fantasy', 'High Fantasy', 'Mythology', 'Fiction']","The Archon of Peace (Sovereign, #1)"
493,493,"['Fantasy', 'Science Fiction Fantasy', 'Post Apocalyptic', 'Science Fiction', 'Adult', 'Adventure', 'Dark']","The High Auction (Wisdom Revolution, #1)"
494,494,"['Fiction', 'Contemporary', 'Thriller', 'Horror', 'Crime', 'Drama', 'Adult']",We Need to Talk About Kevin
495,495,"['Historical Fiction', 'Fiction', 'Civil War', 'War', 'Historical', 'Military Fiction', 'Classics']","The Killer Angels (The Civil War Trilogy, #2)"
496,496,"['Fiction', 'Young Adult', 'Classics', 'Childrens', 'Adventure', 'Middle Grade', 'Survival']","My Side of the Mountain (Mountain, #1)"
497,497,"['Fantasy', 'Science Fiction Fantasy', 'Post Apocalyptic', 'Science Fiction', 'Adventure', 'Utopia', 'Dark']","The Oldest Dance (Wisdom Revolution, #2)"
498,498,"['Fiction', 'Classics', 'Short Stories', 'Literature', 'American', 'Novels', 'Literary Fiction']",Franny and Zooey
499,499,"['Nonfiction', 'History', 'China', 'Biography', 'Memoir', 'Asia', 'Historical']",Wild Swans: Three Daughters of China
500,500,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Realistic Fiction', 'Humor', 'Kids']","Alexander and the Terrible, Horrible, No Good, Very Bad Day"
501,501,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Anthropology', 'Audiobook', 'Psychology']",Sapiens: A Brief History of Humankind
502,502,"['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fiction', 'Young Adult Fantasy']","The Monarch's Ring (The Lost Artefacts, #2)"
503,503,"['Fiction', 'Horror', 'Thriller', 'Contemporary', 'Mystery', 'Classics', 'Dark']",The Wasp Factory
504,504,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Family', 'Love']",Guess How Much I Love You
505,505,"['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'School', 'Epic']",The Aeneid
506,506,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Classics', 'Religion', 'Self Help']",Illusions: The Adventures of a Reluctant Messiah
507,507,"['Astrology', 'Nonfiction']",Zodiac Explained: Understanding the Innate Motives Behind Our Actions
508,508,"['Nonfiction', 'True Crime', 'Mystery', 'Crime', 'History', 'Classics', 'Southern']",Midnight in the Garden of Good and Evil
509,509,"['Historical Fiction', 'Fiction', 'Historical', 'Medieval', 'Audiobook', 'British Literature', 'Fantasy']","World Without End (Kingsbridge, #2)"
510,510,"['Fantasy', 'Fiction', 'Classics', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Mythology']",The Silmarillion
511,511,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Middle Grade', 'Paranormal', 'Childrens']",The Graveyard Book
512,512,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Fantasy', 'Novels']",2001: A Space Odyssey
513,513,['Fantasy'],"Desert Outcast (Sovereign, #0.5)"
514,514,"['Nonfiction', 'Writing', 'Memoir', 'Biography', 'Reference', 'Audiobook', 'Autobiography']",On Writing: A Memoir of the Craft
515,515,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'British Literature', 'Historical Romance']","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
516,516,"['Fiction', 'Classics', 'Magical Realism', 'Fantasy', 'India', 'Literature', 'Religion']",The Satanic Verses
517,517,"['Classics', 'Plays', 'Fiction', 'Drama', 'France', 'Romance', 'Theatre']",Cyrano de Bergerac
518,518,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Mystery Thriller']","The Adventures of Sherlock Holmes (Sherlock Holmes, #3)"
519,519,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Magical Realism']",Everything is Illuminated
520,520,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development']",Quiet: The Power of Introverts in a World That Can't Stop Talking
521,521,"['Fiction', 'Magical Realism', 'Classics', 'India', 'Historical Fiction', 'Fantasy', 'Literature']",Midnight's Children
522,522,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Audiobook']","A Storm of Swords (A Song of Ice and Fire, #3)"
523,523,"['History', 'Politics', 'Nonfiction', 'Classics', 'Philosophy', 'American History', 'Law']",The Federalist Papers
524,524,"['Philosophy', 'Classics', 'Nonfiction', 'German Literature', 'Literature', 'Religion', 'Psychology']",Thus Spoke Zarathustra
525,525,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'Romance']",Doctor Zhivago
526,526,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Philosophy', 'Inspirational', 'Business']",Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life
527,527,"['Nonfiction', 'History', 'Holocaust', 'Memoir', 'Classics', 'Biography', 'World War II']",Survival in Auschwitz
528,528,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', '19th Century', 'Victorian', 'British Literature']",Silas Marner
529,529,"['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Literature', 'Literary Fiction', 'Novels']",Snow Falling on Cedars
530,530,"['Short Stories', 'Horror', 'Fiction', 'Classics', 'Gothic', 'Literature', 'Audiobook']",The Lottery and Other Stories
531,531,"['Classics', 'Plays', 'Fiction', 'Drama', 'Poetry', 'Literature', 'Historical Fiction']",Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth
532,532,"['True Crime', 'Nonfiction', 'Crime', 'History', 'Horror', 'Biography', 'Audiobook']",Helter Skelter: The True Story of the Manson Murders
533,533,"['Fiction', 'Historical Fiction', 'Classics', 'Romance', 'War', 'Historical', 'Canada']",The English Patient
534,534,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']","The Lost Hero (The Heroes of Olympus, #1)"
535,535,"['Fiction', 'Young Adult', 'Novels', 'Adventure', 'New Adult', 'Adult', 'Middle Grade']","Worm Holes (Quantum Roots, #2)"
536,536,"['Fiction', 'Classics', 'Thriller', 'Contemporary', 'Mystery', 'Novels', 'Literature']",Requiem for a Dream
537,537,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']",Journey to the Center of the Earth
538,538,"['Fiction', 'Contemporary', 'Literary Fiction', 'Book Club', 'Music', 'Novels', 'Historical Fiction']",Bel Canto
539,539,"['Fiction', 'Classics', 'Science Fiction', 'Fantasy', 'Young Adult', 'Short Stories', 'Coming Of Age']","Dandelion Wine (Green Town, #1)"
540,540,"['Nonfiction', 'Adventure', 'Memoir', 'Travel', 'Biography', 'History', 'Survival']",Into Thin Air: A Personal Account of the Mount Everest Disaster
541,541,"['Fiction', 'Philosophy', 'Spirituality']",Ú¯Ù… Ø´Ø¯Ù‡ Ø§ÛŒ Ø¯Ø± Ù…Ù‡
542,542,"['Philosophy', 'Nonfiction', 'Classics', 'History', 'Self Help', 'Psychology', 'Personal Development']",Meditations
543,543,"['Fantasy', 'Fiction', 'Young Adult', 'Short Stories', 'Childrens', 'Magic', 'Middle Grade']",The Tales of Beedle the Bard
544,544,"['Fiction', 'Contemporary', 'Magical Realism', 'Novels', 'Literary Fiction', 'Historical Fiction', 'Literature']",The Brief Wondrous Life of Oscar Wao
545,545,"['Fiction', 'Classics', 'Young Adult', 'Short Stories', 'School', 'Contemporary', 'Coming Of Age']",The House on Mango Street
546,546,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Paranormal', 'Adult']",Pet Sematary
547,547,"['Contemporary', 'Fiction', 'Adult', 'Poetry', 'New Adult', 'Drama', 'Novels']","Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose"
548,548,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']",The Girl on the Train
549,549,"['Psychology', 'Nonfiction', 'Self Help', 'Spirituality', 'Philosophy', 'Personal Development', 'Religion']","The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth"
550,550,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Mystery']","The Maze Runner (The Maze Runner, #1)"
551,551,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Mystery', 'Gothic']",The Complete Stories and Poems
552,552,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Adventure', 'Historical', 'Mystery']",The Scarlet Pimpernel
553,553,"['History', 'Nonfiction', 'War', 'Classics', 'Japan', 'World War II', 'Historical']",Hiroshima
554,554,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Literature', 'Historical', 'British Literature']",The French Lieutenant's Woman
555,555,"['Nonfiction', 'Adoption', 'Contemporary', 'Parenting', 'Fostering', 'Sociology', 'Drama']",Adoption Stories: Excerpts from Adoption Books for Adults
556,556,"['Horror', 'Fiction', 'Fantasy', 'Mystery', 'Thriller', 'Contemporary', 'Novels']",House of Leaves
557,557,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Classics', 'Paranormal', 'Supernatural']",Carrie
558,558,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Science', 'Sociology', 'Audiobook']",Blink: The Power of Thinking Without Thinking
559,559,"['Poetry', 'Classics', 'Fiction', 'Literature', 'Romance', 'Plays', 'British Literature']",Shakespeare's Sonnets
560,560,"['Plays', 'Classics', 'Fiction', 'Drama', 'School', 'Theatre', 'Read For School']",A Streetcar Named Desire
561,561,"['Nonfiction', 'Finance', 'Self Help', 'Personal Finance', 'Money', 'Business', 'Personal Development']",The Total Money Makeover: A Proven Plan for Financial Fitness
562,562,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Christian']","Prince Caspian (Chronicles of Narnia, #2)"
563,563,"['Fiction', 'Historical Fiction', 'Fantasy', 'Horror', 'Mystery', 'Vampires', 'Historical']",The Historian
564,564,"['Nonfiction', 'Christian', 'Religion', 'Christianity', 'Spirituality', 'Faith', 'Memoir']",Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
