a_authorkey,a_authorname
2335,Robert Jordan
2336,Gleb Tsipursky
2337,Giulietta Esthel
2338,Benjamin Hoff
2339,Michael Crichton
2340,W. Cleon Skousen
2341,Darin C.  Brown
2342,Sergio Cobo
2343,Pierce Brown
2344,Jane Harper
2345,J.K. Franko Jr.
2346,Candice Millard
2347,Luke Rhinehart
2348,Mary Roach
2349,Drew Magary
2350,P.C. Cast
2351,David Eddings
2352,Nadine Brandes
2353,Paul Hartford
2354,Ivan Goncharov
2355,Susan  Rowland
2356,Peter Hoeg
2357,Nikolai Gogol
2358,Baruch Spinoza
2359,James Patterson
2360,L.M. Montgomery
2361,Blake Butler
2362,Eric Nierstedt
2363,Steven Decker
2364,Frank E. Peretti
2365,Ammar Habib
2366,Lauren  Robinson
2367,Thomas Piketty
2368,Ursula K. Le Guin
2369,Tana French
2370,Leigh Byrne
2371,Conn Iggulden
2372,Agatha Christie
2373,Sarah Ban Breathnach
2374,Art Spiegelman
2375,Alex Flinn
2376,Arthur Conan Doyle
2377,Kate  Moore
2378,Susan Coolidge
2379,Kiera Cass
2380,KÅbÅ Abe
2381,Daniel James Brown
2382,Arkady Strugatsky
2383,Mervyn Peake
2384,Michael   Lewis
2385,Ally Shields
2386,Oliver PÃ¶tzsch
2387,Sue Monk Kidd
2388,Anne Bishop
2389,Robert Greene
2390,Neil Patrick Harris
2391,Maricar Banguis
2392,Robert McCammon
2393,Stephen King
2394,Ken Grimwood
2395,Joseph Murphy
2396,Esther Hicks
2397,Reginald Rose
2398,Clive Barker
2399,Daniel  Kelly
2400,Julie Mannino
2401,Rupert Thomson
2402,Sheri  Fink
2403,Alexandria Marzano-Lesnevich
2404,Robert Fisher
2405,William Shakespeare
2406,M.M. Kaye
2407,Raymond E. Feist
2408,C.H. Edwards
2409,Jim George
2410,Mark Shearman
2411,Hubert Selby Jr.
2412,R. Scott Arnell
2413,Julie Mannino
2414,O.E. RÃ¸lvaag
2415,Alex Comfort
2416,Isham Cook
2417,Robin McKinley
2418,Stormie Omartian
2419,Charles M. Sheldon
2420,Thomas Cahill
2421,Chetan Bhagat
2422,Sherry Argov
2423,Keith Ferrazzi
2424,Gregg Olsen
2425,Chuck Palahniuk
2426,David James Duncan
2427,Daniel J. Levitin
2428,Craig Thompson
2429,Mervyn Peake
2430,Ã‰ric-Emmanuel Schmitt
2431,Jean Anouilh
2432,Helen Rappaport
2433,Jon Stone
2434,Shel Silverstein
2435,Irving Stone
2436,Marissa Meyer
2437,Jean-Paul Sartre
2438,Liz  Cowan
2439,Tim  Marshall
2440,Sarah Waters
2441,Darrius Garrett
2442,H.P. Lovecraft
2443,James Baldwin
2444,Anthony Doerr
2445,Colleen Hoover
2446,Steve Moore
2447,Spencer C Demetros
2448,Judy Blume
2449,Paul Zindel
2450,Michael  Grigsby
2451,Joyce Carol Oates
2452,Max Frisch
2453,Christian Warren Freed
2454,Christopher Moore
2455,Seth Grahame-Smith
2456,Nikolai Gogol
2457,Chris-Jean Clarke
2458,Sigmund Freud
2459,Wally Runnels
2460,Marc Jampole
2461,Charles Perrault
2462,Joe Hill
2463,Gretchen Rubin
2464,Mende Nazer
2465,Jenny Downham
2466,J.P. Delaney
2467,Lalita Tademy
2468,Jean Craighead George
2469,Stephen King
2470,Kody Keplinger
2471,C.E. Medford
2472,Julie Mannino
2473,John Grisham
2474,Fredrik Backman
2475,Erich Maria Remarque
2476,Iain Banks
2477,Andrew Solomon
2478,Jennifer Weiner
2479,Nadine Brandes
2480,Andrea Owen
2481,John     Nichols
2482,C.S. Lewis
2483,Jon Ronson
2484,Irvine Welsh
2485,Brandon Sanderson
2486,Anthony Minghella
2487,Harold G. Moore
2488,Alan Burgess
2489,Raymond Chandler
2490,Lemony Snicket
2491,Sidney Sheldon
2492,E.M. Forster
2493,Hugh Howey
2494,Richard Rhodes
2495,Dan   Harris
2496,Stephen King
2497,Sarah J. Maas
2498,Sylvia Day
2499,Kevin Kwan
2500,J.J. Sorel
2501,Frank B. Gilbreth Jr.
2502,Jo NesbÃ¸
2503,Twyla Tharp
2504,R.L. Stine
2505,Gabriel F.W.  Koch
2506,Nikos Kazantzakis
2507,Li Cunxin
2508,Sarah Vowell
2509,Philip K. Dick
2510,Martha Char Love
2511,Grahame Shannon
2512,Henry James
2513,Ruth Ware
2514,Charles Bernard Nordhoff
2515,David Benioff
2516,Naomi Klein
2517,Bill Bryson
2518,Frank W. Abagnale
2519,Chad Harbach
2520,Jonathan Haidt
2521,Michael Hyatt
2522,Tomi Adeyemi
2523,Elie Wiesel
2524,Jennifer Donnelly
2525,Bob Woodward
2526,Vincent van Gogh
2527,Naomi Novik
2528,Jenny  Lawson
2529,Alan Duff
2530,Yaa Gyasi
2531,Margaret Atwood
2532,Garth Nix
2533,Boris Vian
2534,Mara Powers
2535,Kurt Vonnegut Jr.
2536,Mary Ann Shaffer
2537,Chelsea Luna
2538,G.X. Chen
2539,Deepak Chaswal
2540,Brian L. Weiss
2541,Rachel McGrath
2542,Donald Jans
2543,Amin Maalouf
2544,Amy Croucher Rose
2545,Diane Ackerman
2546,Brett Axel
2547,Huda Aweys
2548,Antony Beevor
2549,Liv Constantine
2550,Truman Capote
2551,Wilson Rawls
2552,Oscar Wilde
2553,Shandi Boyes
2554,Lois Lowry
2555,Christian Warren Freed
2556,Richard Lloyd Parry
2557,Edgar Rice Burroughs
2558,Michel Houellebecq
2559,TyCobbsTeeth
2560,Shandi Boyes
2561,Laurie Halse Anderson
2562,Robin Cook
2563,Trish Marie Dawson
2564,Alice   Miller
2565,Booker T. Washington
2566,RenÃ©e Paule
2567,Orhan Pamuk
2568,Celeste Ng
2569,Felix Abt
2570,Martha Hall Kelly
2571,Loung Ung
2572,Maeve Binchy
2573,Brae Wyckoff
2574,Paul  Harbridge
2575,Stephen King
2576,Joshua E.S. Phillips
2577,Christina Baker Kline
2578,Marie Lu
2579,Lee Child
2580,Widad Akreyi
2581,Widad Akreyi
2582,Edgar Allan Poe
2583,Patrick Lencioni
2584,Dale Carnegie
2585,Pauline RÃ©age
2586,Juddy Anderson C. Punzalan
2587,Kate Morton
2588,James Rollins
2589,Chelsea Luna
2590,Joe Hilley
2591,Blake Crouch
2592,Glennon Doyle
2593,Pat Conroy
2594,Theodore Dreiser
2595,Sigrid Undset
2596,Caitlin Doughty
2597,Robert Anton Wilson
2598,Henry David Thoreau
2599,Stormie Omartian
2600,Kate Morton
2601,Charles Bukowski
2602,Jennifer L. Armentrout
2603,John C. Maxwell
2604,Richelle Mead
2605,Brent LeVasseur
2606,Edward Albee
2607,Po Bronson
2608,Tabitha McGowan
2609,Sarah J. Maas
2610,Nathaniel Philbrick
2611,Joseph Boyden
2612,Jenny  Lawson
2613,Avery Aster
2614,Nadine Brandes
2615,John Flanagan
2616,Rupert Thomson
2617,Liane Moriarty
2618,Martha Stout
2619,Glenn J. Soucy
2620,Avery Aster
2621,Widad Akreyi
2622,Jack London
2623,Min Jin Lee
2624,Jaycee Dugard
2625,James   Howell
2626,John Medina
2627,John C. Maxwell
2628,Patrick Ness
2629,Karin Slaughter
2630,Philip C. Quaintrell
2631,Terry Pratchett
2632,James Faro
2633,Elizabeth Haynes
2634,Josh Kaufman
2635,Dave Eggers
2636,Sarah J. Maas
2637,Rebecca Solnit
2638,Christopher Paul Curtis
2639,Mahbod Seraji
2640,Stephen R. Covey
2641,Dale Carnegie
2642,David Simon
2643,Jon Kabat-Zinn
2644,Shannon Messenger
2645,James Faro
2646,Jim Gaffigan
2647,James L. Ferrell
2648,A.P.J. Abdul Kalam
2649,Widad Akreyi
2650,M.S.M. Barkawitz
2651,Rick Riordan
2652,Edgar Rice Burroughs
2653,A.A. Milne
2654,Douglas Coupland
2655,Widad Akreyi
2656,Lauren Kate
2657,Anonymous
2658,James Faro
2659,Julie Mannino
2660,Douglas Stone
2661,Colson Whitehead
2662,Adolfo Bioy Casares
2663,Sarah J. Maas
2664,EÃ§a de QueirÃ³s
2665,Scott Westerfeld
2666,James Sillwood
2667,Cormac McCarthy
2668,Loreth Anne White
2669,Bess Streeter Aldrich
2670,Elizabeth George Speare
2671,Peggy Orenstein
2672,Andy Andrews
2673,Allie Brosh
2674,Isaac Marion
2675,Jennifer Clement
2676,W.P. Kinsella
2677,Janet Evanovich
2678,Tanya Thompson
2679,Helen Macdonald
2680,David Goggins
2681,G.K. Chesterton
2682,Barry Lyga
2683,Rupi Kaur
2684,Anonymous
2685,Scott Turow
2686,Alan Cumming
2687,Andrzej Sapkowski
2688,Colson Whitehead
2689,Haruki Murakami
2690,Thornton Wilder
2691,Brandon Sanderson
2692,Chuck Palahniuk
2693,Sylvain Reynard
2694,Felix Alexander
2695,Jeffery M. Camp
2696,Mark Barkawitz
2697,Kirsten Fullmer
2698,Roxane Gay
2699,L.C. Conn
2700,R. Buckminster Fuller
2701,Napoleon Hill
2702,Hillary Jordan
2703,Neil Strauss
2704,Nick Hornby
2705,G Egore Pitir
2706,Benjamin Graham
2707,YÅko Ogawa
2708,Elizabeth Bristol
2709,Tina Seelig
2710,Debra Borchert
2711,Jeanette Winterson
2712,Neal Stephenson
2713,Gillian Dance
2714,James Rollins
2715,Laura Schlessinger
2716,Leah Remini
2717,Daniel J. Siegel
2718,Reni Eddo-Lodge
2719,Stephen Greenblatt
2720,John O'Hara
2721,Michael Shermer
2722,Jean Kwok
2723,Robin Sloan
2724,Robert Galbraith
2725,Emem Uko
2726,Johann Hari
2727,Wallace D. Wattles
2728,Karl Braungart
2729,Sarah Dessen
2730,Viv Drewa
2731,Ferenc MolnÃ¡r
2732,Elizabeth Moon
2733,Stephen King
2734,Karl Wiggins
2735,Sam Kean
2736,Janet E. Morris
2737,Anonymous
2738,Jack London
2739,Julie Mannino
2740,Terry Pratchett
2741,Harlan Coben
2742,T. Harv Eker
2743,Steven Konkoly
2744,T.M. Mendes
2745,Erich Fromm
2746,Bill Bryson
2747,Jane Yolen
2748,Samantha Power
2749,Beatrix Potter
2750,Deborah Blum
2751,Sena Jeter Naslund
2752,Wendelin Van Draanen
2753,Louise Penny
2754,Heinrich Harrer
2755,Teddy Hayes
2756,Erin Gruwell
2757,Amanda Lindhout
2758,Tricia Copeland
2759,Spencer Johnson
2760,Charlaine Harris
2761,Patrick O'Brian
2762,Shakti Gawain
2763,Elle Brace
2764,David Baldacci
2765,Ron Millicent
2766,M.J. Santley
2767,Tom Robbins
2768,Laurie Halse Anderson
2769,Stephen Prothero
2770,Richard Wright
2771,Ransom Riggs
2772,Cece Whittaker
2773,Brian Christian
2774,Ana Ingham
2775,Kathy Acker
2776,Anton Chekhov
2777,Bill Bryson
2778,Stephen Brusatte
2779,Barbara Kingsolver
2780,Stephen King
2781,Neil Gaiman
2782,J.K. Franko
2783,Jill Leovy
2784,Steve Martin
2785,Gretchen Rubin
2786,Stephen King
2787,Augusten Burroughs
2788,Plato
2789,Neil deGrasse Tyson
2790,Karin Slaughter
2791,James A. Michener
2792,John Buchan
2793,Sylvia Plath
2794,Gary Vaynerchuk
2795,Judy Prescott Marshall
2796,Hendri Coetzee
2797,Shad Helmstetter
2798,Becky Albertalli
2799,Olivia Fox Cabane
2800,Steven Pressfield
2801,Jennings Michael Burch
2802,Thomas Pynchon
2803,David   Epstein
2804,Abraham Lopez
2805,P.D. James
2806,Isak Dinesen
2807,Megan Abbott
2808,Ally Condie
2809,Charlaine Harris
2810,Karin Slaughter
2811,Thomas  Harris
2812,Simon Sinek
2813,Jojo Moyes
2814,Penelope Douglas
2815,Richard Bach
2816,Jim Carroll
2817,China MiÃ©ville
2818,Louisa May Alcott
2819,Gene Wolfe
2820,Charles Bukowski
2821,Marilynne Robinson
2822,Jasmine  Rose
2823,Sue Grafton
2824,Jill Lepore
2825,Julie Kagawa
2826,Brian Selznick
2827,Carson McCullers
2828,James M. Cain
2829,Karin Slaughter
2830,Clive Blake
2831,Michal Siwiec
2832,Michael Crichton
2833,Paul Van Der Merwe
2834,Eric M. Black
2835,Kami Garcia
2836,Erin Lockwood
2837,toniwo
2838,Max Thorn
2839,L.R.W. Lee
2840,Durgesh Satpathy
2841,Paul Ola
2842,T.J. Anderson
2843,Donna K. Childree
2844,RenÃ©e Paule
2845,Su-Yen Hu
2846,Philip Sington
2847,T.H. Snyder
2848,Jonathan Macpherson
2849,Cassidy Storm
2850,Jodi Ambrose
2851,Non Nomen
2852,Herman Wouk
2853,Sara Shepard
2854,Elfriede Jelinek
2855,Alejandro Cremades
2856,Gail Tsukiyama
2857,Collette Sinclaire
2858,China MiÃ©ville
2859,Cassidy Storm
2860,Chuck Palahniuk
2861,Stormie Omartian
2862,Rick Hanson
2863,Biao  Wang
2864,Mary Karr
2865,Victoria Foyt
2866,Poppy Z. Brite
2867,Brock Booher
2868,Kevin Kwan
2869,Neil Pasricha
2870,Robertson Davies
2871,Charles Bukowski
2872,Vanessa Diffenbaugh
2873,Jack Canfield
2874,Adam Nicke
2875,Mary Oliver
2876,Maya Angelou
2877,Linda Howard
2878,Sofi Oksanen
2879,Jean de Brunhoff
2880,C.M. Meridian
2881,Melba Pattillo Beals
2882,Harriet Lerner
2883,Eric Hublot
2884,James D. Bradley
2885,Pawan Mishra
2886,Karen Marie Moning
2887,Rick Riordan
2888,Colleen Hoover
2889,Stephen King
2890,Hans Christian Andersen
2891,David J. Schwartz
2892,Adolf Hitler
2893,Dennis Cooper
2894,A.D. Zoltan
2895,Gene Luen Yang
2896,Laura Ingalls Wilder
2897,Jack C. Westman
2898,Jo NesbÃ¸
2899,Kenneth   Thomas
2900,Jonathan Swift
2901,Hans Fallada
2902,Steve Chandler
2903,Cassandra Clare
2904,Virginia Lee Burton
2905,Jorge Luis Borges
2906,Jack Schaefer
2907,Raina Telgemeier
2908,Marianne Williamson
2909,Marissa Meyer
2910,Paula Hawkins
2911,Henry Miller
2912,James Faro
2913,Vicki Hendricks
2914,Fumio Sasaki
2915,Shirley Jackson
2916,Christopher K. Germer
2917,Katherine Marple
2918,Sandy Tolan
2919,Erich Maria Remarque
2920,Susannah Cahalan
2921,Michael Crichton
2922,Rhonda Byrne
2923,Steven Erikson
2924,Bertolt Brecht
2925,Jonathan Stroud
2926,Laura Bates
2927,Stormie Omartian
2928,Lucian Bane
2929,Sean Covey
2930,Catherine Fisher
2931,James Patterson
2932,James Rollins
2933,Ryan Holiday
2934,Anita Amirrezvani
2935,L. Ron Hubbard
2936,Leigh Bardugo
2937,Beth Revis
2938,Amie Kaufman
2939,Newt Scamander
2940,Jacqueline Woodson
2941,Naoki Higashida
2942,Will Christopher Baer
2943,Anthony Marra
2944,Wendy   Walker
2945,Liane Moriarty
2946,Garth Nix
2947,Naomi Alderman
2948,Meik Wiking
2949,Pema ChÃ¶drÃ¶n
2950,Larry Niven
2951,Joe Abercrombie
2952,Cecelia Ahern
2953,Craig Clevenger
2954,Martin Amis
2955,Mark Villareal
2956,Ian Fleming
2957,Rupi Kaur
2958,Stephen Tesher
2959,Martha N. Beck
2960,Chris Voss
2961,Rhonda Byrne
2962,Andy Weir
2963,Gary Edward Gedall
2964,Anne Rice
2965,Kass Morgan
2966,Geraldine Audre Lorde
2967,Melissa Marr
2968,A.J. Mouse
2969,Peter   Ralph
2970,Alex Garland
2971,Geraldine Brooks
2972,Ken Follett
2973,Victoria Selman
2974,Chris    Wright
2975,Riley Sager
2976,Robert Dugoni
2977,Noel Streatfeild
2978,Michael Connelly
2979,David McCullough
2980,Sherri Hayes
2981,Anton Chekhov
2982,John Grisham
2983,Gilbert Adair
2984,Anne Frasier
2985,Per Petterson
2986,Janet E. Morris
2987,Robert A. Glover
2988,Woody Allen
2989,Haruki Murakami
2990,Nathanael West
2991,Honor Donohoe
2992,D.K.  Janotta
2993,Jean-Paul Sartre
2994,Nelson DeMille
2995,William Shakespeare
2996,Paul Arden
2997,Lemony Snicket
2998,Dot Hutchison
2999,Samantha Ryan Chandler
3000,Ian Mortimer
3001,John Grisham
3002,M.T. Anderson
3003,Mario Vargas Llosa
3004,Jo NesbÃ¸
3005,Rolf Margenau
3006,Elena Ferrante
3007,Dana K. White
3008,Mary Roach
3009,Charles Duhigg
3010,Patrick Ness
3011,Linda Masemore Pirrung
3012,Cherlina Works
3013,Ally Carter
3014,Dorothy L. Sayers
3015,John Grisham
3016,Cambria Brockman
3017,Angie  Kim
3018,Dennis Cooper
3019,Orson Scott Card
3020,StanisÅ‚aw Lem
3021,Madeleine L'Engle
3022,Chelsea Luna
3023,James Altucher
3024,Ian McEwan
3025,Sandie Jones
3026,Phillip Urlevich
3027,Frank Delaney
3028,Linda Masemore Pirrung
3029,Lee Child
3030,Brandon Sanderson
3031,Frank Herbert
3032,Ruta Sepetys
3033,Kirsten Fullmer
3034,Allie Frost
3035,Milan Kundera
3036,James A. Michener
3037,L.C. Conn
3038,Kwei Quartey
3039,Ayn Rand
3040,Jenny Han
3041,Fyodor Dostoevsky
3042,Kirsten Fullmer
3043,A.L. Gibson
3044,A.F. Knott
3045,Jan Brett
3046,HalldÃ³r Laxness
3047,Robert Greene
3048,N.K. Pockett
3049,Lisa Wingate
3050,Cecelia Ahern
3051,Tony Robbins
3052,Adam  Johnson
3053,Mark Goulston
3054,Vishen Lakhiani
3055,William Shakespeare
3056,Jodi Picoult
3057,Laurie A. Helgoe
3058,David D. Burns
3059,Jodi Picoult
3060,Gary Chapman
3061,Kent Haruf
3062,Peter Shaffer
3063,Isabel Allende
3064,Brian Dennis Hartford
3065,Daniel Mangena
3066,Joshua Becker
3067,Jeff Olson
3068,Mindy Kaling
3069,Hieronymus Hawkes
3070,Jack Weatherford
3071,Walter Rhein
3072,L.C. Conn
3073,L.C. Conn
3074,Julie Mannino
3075,Marlo Morgan
3076,Richard Peck
3077,Douglas Adams
3078,Richard J.   O'Brien
3079,Dorothy L. Sayers
3080,Noam Chomsky
3081,Adriana Trigiani
3082,James Herriot
3083,Cynthia Hand
3084,Rupert Thomson
3085,William PÃ¨ne du Bois
3086,Amor Towles
3087,Oprah Winfrey
3088,David Baldacci
3089,Ernst F. Schumacher
3090,Cary Elwes
3091,Robert Jordan
3092,Ruth Ware
3093,David Baldacci
3094,M.S. Matassa
3095,RAMIREZ
3096,Augustine of Hippo
3097,Thomas Mann
3098,Nina George
3099,Karen Abbott
3100,Jeffrey E. Young
3101,V.C. Andrews
3102,Abi Ketner
3103,Iain M. Rodgers
3104,David Mitchell
3105,JosÃ© Saramago
3106,Salman Rushdie
3107,Jorge Luis Borges
3108,KGE Konkel
3109,Michael T. Dolan
3110,H.P. Lovecraft
3111,Isaac Asimov
3112,John F. Kennedy
3113,J.R.R. Tolkien
3114,Pierre Boulle
3115,Liane Moriarty
3116,Andrzej Sapkowski
3117,Nicholas Sparks
3118,Kola Boof
3119,Chevy Stevens
3120,Scott Adams
3121,Michelle Hodkin
3122,Chris Colfer
3123,Julie Mannino
3124,Agatha Christie
3125,Karen Maitland
3126,William Blake
3127,James Rollins
3128,Rupert Thomson
3129,J.G. Ballard
3130,Richard Wiseman
3131,Bertrand Russell
3132,Alexander McCall Smith
3133,James Clavell
3134,Michael J. Gelb
3135,Chris Van Allsburg
3136,Kathy Reichs
3137,Thomas Hardy
3138,John Grisham
3139,Kazuo Ishiguro
3140,Aleister Crowley
3141,Booth Tarkington
3142,Thornton Wilder
3143,Wayne W. Dyer
3144,Amie Kaufman
3145,Jasmine  Rose
3146,Jessie Burton
3147,Jennifer Weiner
3148,Christopher Paul Curtis
3149,Henrik Ibsen
3150,Barbara Robinson
3151,Douglas Coupland
3152,Brian Tracy
3153,Kahlil Gibran
3154,Richelle Mead
3155,Terry Pratchett
3156,Scott        Smith
3157,Howard Fast
3158,James Rollins
3159,Pseudonymous Bosch
3160,Hans Rosling
3161,Sy Montgomery
3162,Paulo Coelho
3163,Italo Calvino
3164,Miranda Hart
3165,James S.A. Corey
3166,W.B. Yeats
3167,Rabindranath Tagore
3168,David Foster Wallace
3169,Karyl McBride
3170,Waris Dirie
3171,Shel Silverstein
3172,Edgar Allan Poe
3173,Tess Gerritsen
3174,Michael Crichton
3175,Sarah J. Maas
3176,Stephen King
3177,Jennifer A. Nielsen
3178,Margaret Peterson Haddix
3179,William Shakespeare
3180,Paolo Bacigalupi
3181,Thomas L. Friedman
3182,George Saunders
3183,Sarah J. Maas
3184,C.S. Lewis
3185,Ezra Barany
3186,Edgar Allan Poe
3187,Anna Caltabiano
3188,Jessica Loving
3189,Sara Shrieves
3190,Francis Smith
3191,Keith Ellison
3192,Ken Poirot
3193,Rahul Deokar
3194,R.C. Hancock
3195,Lola Smirnova
3196,Sandip Khade
3197,Lene Fogelberg
3198,Tiffany   McDaniel
3199,Thomas Pynchon
3200,Audrey Grey
3201,P.J. MacNamara
3202,Confucius
3203,Oliver Phipps
3204,C.D. Blizzard
3205,Michael Hyatt
3206,Susan  David
3207,Lauren  Alexander
3208,Raymond Chandler
3209,Patrick F. Rooney
3210,Robert Thier
3211,Neil A. Fiore
3212,K.D. Edwards
3213,Arthur Nersesian
3214,Lauren  Alexander
3215,Louisa May Alcott
3216,Gene Zion
3217,Lilas Taha
3218,Bonnie McKeating
3219,Pratik Patil
3220,Tom Clancy
3221,Bill Bryson
3222,Milton Friedman
3223,Lilly Singh
3224,Emily  Williams
3225,Dan Simmons
3226,Lindsay Anne Kendal
3227,Libba Bray
3228,Collette Sinclaire
3229,Landon Parham
3230,Sabaa Tahir
3231,Sarah Knight
3232,Martin Luther King Jr.
3233,T. Rafael Cimino
3234,Steve  Harvey
3235,Wilkie Collins
3236,JosÃ© Mauro de Vasconcelos
3237,Tess Gerritsen
3238,Aeschylus
3239,Joni Eareckson Tada
3240,Edgar Allan Poe
3241,Alexei Maxim Russell
3242,E.B. Sledge
3243,Sarah Knight
3244,Stephen King
3245,Paul Scott
3246,Judith Kerr
3247,Andrzej Sapkowski
3248,T.S. Eliot
3249,Jams N. Roses
3250,Vera Brittain
3251,A.C. Weisbecker
3252,Rachel  Hoffman
3253,Shareef Mabrouk
3254,Alexei Maxim Russell
3255,Shaun Tan
3256,William Shakespeare
3257,Cristiane Serruya
3258,Travis Luedke
3259,Stephen King
3260,Kia Carrington-Russell
3261,Cassidy Storm
3262,Will Schwalbe
3263,Lillian Hellman
3264,John J. Ratey
3265,Melody Beattie
3266,Ivo AndriÄ‡
3267,Osamu Dazai
3268,Elaine N. Aron
3269,Kelley Armstrong
3270,Jim Butcher
3271,Mervyn Peake
3272,Chris   Blake
3273,John C. Maxwell
3274,Laura Vanderkam
3275,E.H. Gombrich
3276,Emerson Eggerichs
3277,ThanhhÃ  Láº¡i
3278,Kelly Cozzone
3279,Tan Twan Eng
3280,Mark Shearman
3281,Adele Faber
3282,Richard P. Feynman
3283,Mary Renault
3284,James A. Michener
3285,Isaac Asimov
3286,Jodi Picoult
3287,Elle Luna
3288,Emma McLaughlin
3289,A.R. Merrydew
3290,Alan Moore
3291,Boris Vian
3292,Tanya Thompson
3293,Amy Morin
3294,C.A. Knutsen
3295,Michael Pollan
3296,Reyna Hawk
3297,Riley Sager
3298,Robin S. Sharma
3299,Ruth Ozeki
3300,Wayne W. Dyer
3301,Will Self
3302,V.E. Schwab
3303,Stephen King
3304,Michel de Montaigne
3305,Lynda Wolters
3306,Robert Jordan
3307,Robin LaFevers
3308,Justin Halpern
3309,Linda Goodman
3310,Ally Condie
3311,Janne Teller
3312,Antoine de Saint-ExupÃ©ry
3313,Rainer Maria Rilke
3314,Pascal Mercier
3315,Leon Trotsky
3316,Jacqueline Carey
3317,Oswald Chambers
3318,George Eliot
3319,Jerry Pinkney
3320,Winston Groom
3321,Robert Tressell
3322,Ø¹Ø¨Ø§Ø³ Ù…Ø¹Ø±ÙˆÙÛŒ
3323,Jeanette Winterson
3324,Lauren Beukes
3325,Leil Lowndes
3326,Lindsay C. Gibson PsyD
3327,Olivie Blake
3328,Jeffrey Archer
3329,Michael Connelly
3330,Natsume SÅseki
3331,Ki Longfellow
3332,Rusty Young
3333,Michio Kaku
3334,John M. Vermillion
3335,Jennifer Donnelly
3336,Deepak Chopra
3337,William Shakespeare
3338,Lucian Bane
3339,Elsa Blomster
3340,Tara Brach
3341,Mortimer J. Adler
3342,Marilyn French
3343,Patrick Ness
3344,MeÅ¡a SelimoviÄ‡
3345,James Patterson
3346,Mary Burton
3347,Barry Kirwan
3348,Jonathan Franzen
3349,Nisargadatta Maharaj
3350,Michelle Cohen Corasanti
3351,NataÅ¡a PantoviÄ‡
3352,Debbie Herbert
3353,Haemin Sunim
3354,John Irving
3355,Paullina Simons
3356,Lorraine Carey
3357,Heinrich BÃ¶ll
3358,Melissa de la Cruz
3359,Tom  Baldwin
3360,Lucy Grealy
3361,John Steinbeck
3362,Megan Goldin
3363,Layne Fargo
3364,Guy Caro
3365,Pema ChÃ¶drÃ¶n
3366,Chelsea Luna
3367,C.L.  Hunter
3368,Christopher Moore
3369,Sarah Lyu
3370,Christopher Marlowe
3371,Kimberly Belle
3372,Benjamin R. Barber
3373,Derek Landy
3374,Tom Clancy
3375,Ira Levin
3376,R.C. Westyn
3377,Brother Andrew
3378,James Patterson
3379,T.J. Klune
3380,F. Scott Fitzgerald
3381,Chelsea Luna
3382,Rachel Joyce
3383,Tama Janowitz
3384,Matt Haig
3385,Anthony DiPaolo
3386,Ken Robinson
3387,GRWilson
3388,Seth Godin
3389,Michel Faber
3390,Lee Matthew Goldberg
3391,Sonja Lyubomirsky
3392,Nathaniel Hawthorne
3393,Caroline Louise Walker
3394,Michael Pollan
3395,Karel ÄŒapek
3396,Philip K. Dick
3397,Gary D. Henry
3398,Chelsea Luna
3399,Lucian Bane
3400,Terry Hayes
3401,NataÅ¡a PantoviÄ‡
3402,Kristin Neff
3403,Anna Pitoniak
3404,Stephen Fry
3405,Richard Russo
3406,Chelsea Luna
3407,William Blake
3408,Arthur Paul James
3409,Andrzej Sapkowski
3410,Brit Bennett
3411,Carolyn M. Bowen
3412,Steven Pressfield
3413,Trenton Lee Stewart
3414,Andrea Levy
3415,Mitch Albom
3416,Julie Mannino
3417,James A. Michener
3418,Johann Wolfgang von Goethe
3419,Carol Shields
3420,Chelsea Luna
3421,Kola Boof
3422,Charles Bukowski
3423,William Shakespeare
3424,Gabrielle Zevin
3425,Julie Mannino
3426,Paulo Coelho
3427,Mikhail Sholokhov
3428,Henrik Ibsen
3429,Cece Whittaker
3430,Caroline Myss
3431,Julie Mannino
3432,Dietrich Bonhoeffer
3433,Patrick Ness
3434,Iain M. Banks
3435,Marie Lu
3436,John Brooks
3437,Margaret Atwood
3438,Noah Hawley
3439,Oliver Sacks
3440,Caryl Churchill
3441,R.B. Le`Deach
3442,S.W. Clemens
3443,Wendy Mass
3444,Patricia Briggs
3445,Henning Mankell
3446,Ilya Ilf
3447,Douglas Preston
3448,Chimamanda Ngozi Adichie
3449,Amy Schumer
3450,Luo Guanzhong
3451,Catherynne M. Valente
3452,BrenÃ© Brown
3453,Liz  Cowan
3454,Octavia E. Butler
3455,Jamie McHone
3456,Jenna Miscavige Hill
3457,Alexandria Ayers
3458,Romain Gary
3459,Jason Latshaw
3460,Shari Lapena
3461,Barbara Demick
3462,Arun D. Ellis
3463,Jandy Nelson
3464,Henrik Ibsen
3465,Guy Winch
3466,Justina Chen
3467,Cinda Williams Chima
3468,Julie Morgenstern
3469,Julie Mannino
3470,Lloyd Alexander
3471,Nikolai Gogol
3472,Linda Sue Park
3473,Edward P. Jones
3474,Dean Koontz
3475,Erik Larson
3476,Joanne Harris
3477,Rita Mae Brown
3478,David Baldacci
3479,Thomas Hobbes
3480,Pete Hamill
3481,Claire North
3482,Barbara Oakley
3483,Gay Hendricks
3484,Kim Hebert
3485,D.M. Samson
3486,Tess Gerritsen
3487,Robert Louis Stevenson
3488,Catherine Forsayeth
3489,Edgar Allan Poe
3490,Blake Crouch
